,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
235,Angkrish Raghuvanshi,c Ashwin b Kuldeep Sen,30,18,5,0,166.67,Kolkata Knight Riders,kkr vs rr,Ashwin
236,Shreyas Iyer (c),lbw b Chahal,11,7,1,1,157.14,Kolkata Knight Riders,kkr vs rr,NA
237,Russell,c Dhruv Jurel b Avesh Khan,13,10,2,0,130.0,Kolkata Knight Riders,kkr vs rr,Dhruv Jurel
238,Rinku Singh,not out,20,9,1,2,222.22,Kolkata Knight Riders,kkr vs rr,not out
239,Venkatesh Iyer,c Dhruv Jurel b Kuldeep Sen,8,6,1,0,133.33,Kolkata Knight Riders,kkr vs rr,Dhruv Jurel
240,Ramandeep Singh,not out,1,1,0,0,100.0,Kolkata Knight Riders,kkr vs rr,not out
241,W Saha (wk),b Mukesh Kumar,2,10,0,0,20.0,Gujarat Titans,gt vs dc,NA
242,Shubman Gill (c),c Prithvi Shaw b Ishant,8,6,2,0,133.33,Gujarat Titans,gt vs dc,Prithvi Shaw
243,Sai Sudharsan,run out (Sumit Kumar),12,9,2,0,133.33,Gujarat Titans,gt vs dc,NA
244,David Miller,c Pant b Ishant,2,6,0,0,33.33,Gujarat Titans,gt vs dc,Pant
245,Abhinav Manohar,st Pant b Tristan Stubbs,8,14,1,0,57.14,Gujarat Titans,gt vs dc,NA
246,Rahul Tewatia,lbw b Axar,10,15,1,0,66.67,Gujarat Titans,gt vs dc,NA
247,Shahrukh Khan,st Pant b Tristan Stubbs,0,1,0,0,0.0,Gujarat Titans,gt vs dc,NA
248,Rashid Khan,c Pant b Mukesh Kumar,31,24,2,1,129.17,Gujarat Titans,gt vs dc,Pant
249,Mohit Sharma,c Sumit Kumar b Khaleel Ahmed,2,14,0,0,14.29,Gujarat Titans,gt vs dc,Sumit Kumar
250,Noor Ahmad,b Mukesh Kumar,1,7,0,0,14.29,Gujarat Titans,gt vs dc,NA
251,Spencer Johnson,not out,1,1,0,0,100.0,Gujarat Titans,gt vs dc,not out
252,Ishan Kishan (wk),c Harpreet Brar b Rabada,8,8,1,0,100.0,Mumbai Indians,pbks vs mi,Harpreet Brar
253,Rohit,c Harpreet Brar b Sam Curran,36,25,2,3,144.0,Mumbai Indians,pbks vs mi,Harpreet Brar
254,Suryakumar Yadav,c Prabhsimran b Sam Curran,78,53,7,3,147.17,Mumbai Indians,pbks vs mi,Prabhsimran
255,Tilak Varma,not out,34,18,2,2,188.89,Mumbai Indians,pbks vs mi,not out
256,Hardik Pandya (c),c Harpreet Brar b Harshal Patel,10,6,0,1,166.67,Mumbai Indians,pbks vs mi,Harpreet Brar
257,Tim David,c Sam Curran b Harshal Patel,14,7,2,1,200.0,Mumbai Indians,pbks vs mi,Sam Curran
258,Romario Shepherd,c Shashank Singh b Harshal Patel,1,2,0,0,50.0,Mumbai Indians,pbks vs mi,Shashank Singh
259,Nabi,run out (Harshal Patel),0,1,0,0,0.0,Mumbai Indians,pbks vs mi,NA
260,Ajinkya Rahane,b Krunal Pandya,36,24,5,1,150.0,Chennai Super Kings,lsg vs csk,NA
261,Rachin Ravindra,b Mohsin Khan,0,1,0,0,0.0,Chennai Super Kings,lsg vs csk,NA
262,Ruturaj Gaikwad (c),c Rahul b Yash Thakur,17,13,1,0,130.77,Chennai Super Kings,lsg vs csk,Rahul
263,Ravindra Jadeja,not out,57,40,5,1,142.5,Chennai Super Kings,lsg vs csk,not out
264,Shivam Dube,c Rahul b Stoinis,3,8,0,0,37.5,Chennai Super Kings,lsg vs csk,Rahul
265,Sameer Rizvi,st Rahul b Krunal Pandya,1,5,0,0,20.0,Chennai Super Kings,lsg vs csk,NA
266,Moeen,c Ayush Badoni b Ravi Bishnoi,30,20,0,3,150.0,Chennai Super Kings,lsg vs csk,Ayush Badoni
267,Dhoni (wk),not out,28,9,3,2,311.11,Chennai Super Kings,lsg vs csk,not out
268,Head,c Tristan Stubbs b Kuldeep Yadav,89,32,11,6,278.12,Sunrisers Hyderabad,dc vs srh,Tristan Stubbs
269,Abhishek Sharma,c Axar b Kuldeep Yadav,46,12,2,6,383.33,Sunrisers Hyderabad,dc vs srh,Axar
270,Markram,c Axar b Kuldeep Yadav,1,3,0,0,33.33,Sunrisers Hyderabad,dc vs srh,Axar
271,Klaasen (wk),b Axar,15,8,0,2,187.5,Sunrisers Hyderabad,dc vs srh,NA
272,Nitish Reddy,c Warner b Kuldeep Yadav,37,27,2,2,137.04,Sunrisers Hyderabad,dc vs srh,Warner
273,Shahbaz Ahmed,not out,59,29,2,5,203.45,Sunrisers Hyderabad,dc vs srh,not out
274,Abdul Samad,c Nortje b Mukesh Kumar,13,8,1,1,162.5,Sunrisers Hyderabad,dc vs srh,Nortje
275,Cummins (c),run out (Tristan Stubbs/Mukesh Kumar),1,1,0,0,100.0,Sunrisers Hyderabad,dc vs srh,NA
276,Washington Sundar,not out,0,0,0,0,0.0,Sunrisers Hyderabad,dc vs srh,not out
277,Salt (wk),c Rajat Patidar b Siraj,48,14,7,3,342.86,Kolkata Knight Riders,kkr vs rcb,Rajat Patidar
278,Narine,c Kohli b Yash Dayal,10,15,2,0,66.67,Kolkata Knight Riders,kkr vs rcb,Kohli
279,Angkrish Raghuvanshi,c Green b Yash Dayal,3,4,0,0,75.0,Kolkata Knight Riders,kkr vs rcb,Green
280,Venkatesh Iyer,c Lomror b Green,16,8,3,0,200.0,Kolkata Knight Riders,kkr vs rcb,Lomror
281,Shreyas Iyer (c),c du Plessis b Green,50,36,7,1,138.89,Kolkata Knight Riders,kkr vs rcb,du Plessis
282,Rinku Singh,c Yash Dayal b Lockie Ferguson,24,16,2,1,150.0,Kolkata Knight Riders,kkr vs rcb,Yash Dayal
283,Russell,not out,27,20,4,0,135.0,Kolkata Knight Riders,kkr vs rcb,not out
284,Ramandeep Singh,not out,24,9,2,2,266.67,Kolkata Knight Riders,kkr vs rcb,not out
285,Sam Curran (c),lbw b Rashid Khan,20,19,2,0,105.26,Punjab Kings,pbks vs gt,NA
286,Prabhsimran,c W Saha b Mohit Sharma,35,21,3,3,166.67,Punjab Kings,pbks vs gt,W Saha
287,Rossouw,lbw b Noor Ahmad,9,7,2,0,128.57,Punjab Kings,pbks vs gt,NA
288,Jitesh Sharma (wk),b Sai Kishore,13,12,0,1,108.33,Punjab Kings,pbks vs gt,NA
289,Livingstone,c Rahul Tewatia b Noor Ahmad,6,9,1,0,66.67,Punjab Kings,pbks vs gt,Rahul Tewatia
290,Shashank Singh,c and b Sai Kishore,8,12,0,0,66.67,Punjab Kings,pbks vs gt,and
291,Ashutosh Sharma,c Mohit Sharma b Sai Kishore,3,8,0,0,37.5,Punjab Kings,pbks vs gt,Mohit Sharma
292,Harpreet Singh,run out (Sai Sudharsan/W Saha),14,19,0,0,73.68,Punjab Kings,pbks vs gt,NA
293,Harpreet Brar,c Shahrukh Khan b Sai Kishore,29,12,4,1,241.67,Punjab Kings,pbks vs gt,Shahrukh Khan
294,Harshal Patel,c Shahrukh Khan b Mohit Sharma,0,1,0,0,0.0,Punjab Kings,pbks vs gt,Shahrukh Khan
295,Rabada,not out,1,1,0,0,100.0,Punjab Kings,pbks vs gt,not out
296,Rohit,c Samson b Boult,6,5,1,0,120.0,Mumbai Indians,rr vs mi,Samson
297,Ishan Kishan (wk),c Samson b Sandeep Sharma,0,3,0,0,0.0,Mumbai Indians,rr vs mi,Samson
298,Suryakumar Yadav,c Rovman Powell b Sandeep Sharma,10,8,2,0,125.0,Mumbai Indians,rr vs mi,Rovman Powell
299,Tilak Varma,c Rovman Powell b Sandeep Sharma,65,45,5,3,144.44,Mumbai Indians,rr vs mi,Rovman Powell
300,Nabi,c and b Chahal,23,17,2,1,135.29,Mumbai Indians,rr vs mi,and
301,Nehal Wadhera,c Sandeep Sharma b Boult,49,24,3,4,204.17,Mumbai Indians,rr vs mi,Sandeep Sharma
302,Hardik Pandya (c),lbw b Avesh Khan,10,10,1,0,100.0,Mumbai Indians,rr vs mi,NA
303,Tim David,c Riyan Parag b Sandeep Sharma,3,5,0,0,60.0,Mumbai Indians,rr vs mi,Riyan Parag
304,Gerald Coetzee,c Hetmyer b Sandeep Sharma,0,1,0,0,0.0,Mumbai Indians,rr vs mi,Hetmyer
305,Chawla,not out,1,1,0,0,100.0,Mumbai Indians,rr vs mi,not out
306,Bumrah,not out,2,1,0,0,200.0,Mumbai Indians,rr vs mi,not out
307,Ajinkya Rahane,c Rahul b Matt Henry,1,3,0,0,33.33,Chennai Super Kings,csk vs lsg,Rahul
308,Ruturaj Gaikwad (c),not out,108,60,12,3,180.0,Chennai Super Kings,csk vs lsg,not out
309,Daryl Mitchell,c Deepak Hooda b Yash Thakur,11,10,1,0,110.0,Chennai Super Kings,csk vs lsg,Deepak Hooda
310,Ravindra Jadeja,c Rahul b Mohsin Khan,16,19,2,0,84.21,Chennai Super Kings,csk vs lsg,Rahul
311,Shivam Dube,run out (de Kock/Stoinis),66,27,3,7,244.44,Chennai Super Kings,csk vs lsg,NA
312,Dhoni (wk),not out,4,1,1,0,400.0,Chennai Super Kings,csk vs lsg,not out
313,Prithvi Shaw,c Noor Ahmad b Warrier,11,7,2,0,157.14,Delhi Capitals,dc vs gt,Noor Ahmad
314,Jake Fraser-McGurk,c Noor Ahmad b Warrier,23,14,2,2,164.29,Delhi Capitals,dc vs gt,Noor Ahmad
315,Axar,c Sai Kishore b Noor Ahmad,66,43,5,4,153.49,Delhi Capitals,dc vs gt,Sai Kishore
316,Shai Hope,c Rashid Khan b Warrier,5,6,1,0,83.33,Delhi Capitals,dc vs gt,Rashid Khan
317,Pant (c & wk),not out,88,43,5,8,204.65,Delhi Capitals,dc vs gt,not out
